CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","SL-3 R/B","1976-102B","EARTH","TEME","UTC","SGP4","2020-10-02T14:21:13.225536","14.07545056","0.00803400","81.2625","27.1946","24.8203","335.6797","0","U","9482","999","25687","-0.00011054000000","-0.00000179","0.0000000000000","7245.921","102.305","926.000","809.572","ROCKET BODY","LARGE","CIS","1976-10-15","PKMTR","","2840178","162604961","0 SL-3 R/B","1  9482U 76102B   20276.59806974 -.00000179 +00000-0 -11054-3 0  9997","2  9482 081.2625 027.1946 0080340 024.8203 335.6797 14.07545056256877"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","COSMOS 860","1976-103A","EARTH","TEME","UTC","SGP4","2020-10-02T09:12:34.424928","13.81271884","0.00507210","64.6996","245.6281","17.4866","342.7922","0","U","9486","999","59511","-0.00000976100000","-0.00000101","0.0000000000000","7337.515","104.251","996.597","922.164","PAYLOAD","LARGE","CIS","1976-10-17","TTMTR","","2840178","162603424","0 COSMOS 860","1  9486U 76103A   20276.38373177 -.00000101 +00000-0 -97610-5 0  9992","2  9486 064.6996 245.6281 0050721 017.4866 342.7922 13.81271884595117"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","COSMOS 861","1976-104A","EARTH","TEME","UTC","SGP4","2020-10-02T10:58:13.288800","13.81586767","0.00317650","64.8598","63.3315","69.4998","290.9464","0","U","9494","999","21806","-0.00001147900000","-0.00000101","0.0000000000000","7336.401","104.227","981.570","934.961","PAYLOAD","LARGE","CIS","1976-10-21","TTMTR","","2840178","162603386","0 COSMOS 861","1  9494U 76104A   20276.45709825 -.00000101 +00000-0 -11479-4 0  9991","2  9494 064.8598 063.3315 0031765 069.4998 290.9464 13.81586767218069"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-09-16T23:28:41","18 SPCS","COSMOS 862","1976-105A","EARTH","TEME","UTC","SGP4","2020-09-15T04:09:52.350048","2.00634011","0.57967430","69.7232","169.3145","253.3588","38.3901","0","U","9495","999","19953","0.00000000000000","-0.00000666","0.0000000000000","26554.133","717.724","35568.747","4783.249","PAYLOAD","LARGE","CIS","1976-10-22","PKMTR","","2825427","161512525","0 COSMOS 862","1  9495U 76105A   20259.17352257 -.00000666 +00000-0 +00000-0 0  9995","2  9495 069.7232 169.3145 5796743 253.3588 038.3901 02.00634011199530"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","EKRAN 1","1976-107A","EARTH","TEME","UTC","SGP4","2020-10-02T03:55:25.244832","1.00290856","0.00651950","8.7830","299.1938","126.1813","58.7036","0","U","9503","999","17761","0.00000000000000","0.00000064","0.0000000000000","42159.386","1435.823","36056.109","35506.393","PAYLOAD","LARGE","CIS","1976-10-26","TTMTR","","2840178","162604181","0 EKRAN 1","1  9503U 76107A   20276.16348663 +.00000064 +00000-0 +00000-0 0  9992","2  9503 008.7830 299.1938 0065195 126.1813 058.7036 01.00290856177616"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","COSMOS 864","1976-108A","EARTH","TEME","UTC","SGP4","2020-10-02T14:15:51.173856","13.75360295","0.00294550","82.9377","254.6722","198.5068","302.9659","0","U","9509","999","20401","0.00000282470000","0.00000018","0.0000000000000","7358.526","104.699","1002.065","958.716","PAYLOAD","LARGE","CIS","1976-10-29","PKMTR","","2840178","162604445","0 COSMOS 864","1  9509U 76108A   20276.59434229 +.00000018 +00000-0 +28247-5 0  9997","2  9509 082.9377 254.6722 0029455 198.5068 302.9659 13.75360295204013"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","SL-8 R/B","1976-108B","EARTH","TEME","UTC","SGP4","2020-10-02T13:20:21.990912","13.77591206","0.00273520","82.9398","209.2359","54.8377","305.5337","0","U","9510","999","20715","-0.00000182870000","0.00000014","0.0000000000000","7350.579","104.530","992.550","952.339","ROCKET BODY","LARGE","CIS","1976-10-29","PKMTR","","2840178","162603743","0 SL-8 R/B","1  9510U 76108B   20276.55581008 +.00000014 +00000-0 -18287-5 0  9993","2  9510 082.9398 209.2359 0027352 054.8377 305.5337 13.77591206207151"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","DELTA 1 DEB","1975-004FP","EARTH","TEME","UTC","SGP4","2020-10-02T12:24:12.157632","14.20209735","0.01276990","97.9161","169.3598","137.4635","223.6523","0","U","9567","999","31152","0.00001463700000","-0.00000002","0.0000000000000","7202.780","101.393","916.624","732.666","DEBRIS","SMALL","US","1975-01-22","AFWTR","","2840178","162603871","0 DELTA 1 DEB","1  9567U 75004FP  20276.51680738 -.00000002 +00000-0 +14637-4 0  9996","2  9567 097.9161 169.3598 0127699 137.4635 223.6523 14.20209735311524"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-01T06:16:09","18 SPCS","DELTA 1 DEB","1973-086FW","EARTH","TEME","UTC","SGP4","2020-10-01T01:51:35.879904","12.06651454","0.04147520","101.5279","309.9716","332.5900","48.6044","0","U","9568","999","5369","0.00242400000000","0.00000235","0.0000000000000","8029.354","119.338","1984.238","1318.200","DEBRIS","SMALL","US","1973-11-06","AFWTR","","2838995","162535424","0 DELTA 1 DEB","1  9568U 73086FW  20275.07749861  .00000235  00000-0  24240-2 0  9994","2  9568 101.5279 309.9716 0414752 332.5900  48.6044 12.06651454 53698"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","SL-8 DEB *","1973-098D","EARTH","TEME","UTC","SGP4","2020-10-02T10:32:47.918400","14.84974945","0.00106020","74.0509","132.9394","5.2649","354.8639","0","U","9569","999","60073","0.00008270600000","0.00000669","0.0000000000000","6991.801","96.971","621.079","606.253","DEBRIS","SMALL","CIS","1973-12-04","PKMTR","","2840178","162602537","0 SL-8 DEB *","1  9569U 73098D   20276.43944350 +.00000669 +00000-0 +82706-4 0  9993","2  9569 074.0509 132.9394 0010602 005.2649 354.8639 14.84974945600731"
